product_id,product_name
1,"Credit reporting, credit repair services, or other personal consumer reports"
2,Credit card or prepaid card
3,Credit reporting or other personal consumer reports
4,Student loan
5,Checking or savings account
6,Debt collection
7,Credit card
8,Mortgage
9,"Money transfer, virtual currency, or money service"
10,"Payday loan, title loan, or personal loan"
11,Consumer Loan
12,Vehicle loan or lease
13,Bank account or service
14,Money transfers
15,Prepaid card
16,"Payday loan, title loan, personal loan, or advance loan"
17,Credit reporting
18,Debt or credit management
19,Payday loan
20,Other financial service
21,Virtual currency
